PRESENCE,TM CH3,TM CH4,TM CH5,TM CH6 ,EQUIVALENT LATITUDE
1,16,29,38,126,63
1,16,40,42,128,63
0,15,41,34,124,63
0,16,61,42,125,63
0,19,57,51,126,63
1,19,32,40,125,63
1,15,39,35,125,63
0,29,61,66,132,57
0,16,71,47,125,46
1,15,32,31,125,63
1,15,31,38,125,63
1,15,36,32,126,66
1,16,33,41,127,63
1,14,18,16,122,63
1,18,33,36,127,70
1,19,39,31,125,67
1,15,32,33,128,63
0,19,46,39,122,63
1,19,46,44,125,64
0,21,83,58,132,63
0,22,58,66,129,63
0,15,37,34,126,50
0,15,46,36,128,63
1,17,38,30,127,63
0,20,60,50,126,63
0,16,56,35,122,63
1,14,38,26,127,61
0,19,64,48,131,63
0,35,26,39,131,63
1,15,33,29,125,63
1,15,33,31,121,79
0,27,21,21,122,63
1,15,28,24,121,81
1,20,45,41,125,68
0,18,40,34,129,57
1,16,36,28,126,66
0,17,39,31,126,63
1,16,32,28,125,63
0,15,72,44,126,63
1,17,49,42,127,63
1,23,56,50,127,66
1,18,36,41,127,63
1,15,32,26,122,65
1,14,21,18,122,63
0,19,64,50,120,63
0,18,76,50,130,63
1,19,41,44,126,71
0,19,56,50,133,64
1,15,28,27,126,63
1,16,34,28,128,63
1,18,34,40,128,63
1,14,18,15,124,63
1,14,25,31,126,67
0,20,56,52,126,63
1,14,24,24,124,64
1,15,25,22,125,55
1,17,33,38,122,63
0,43,60,114,143,34
0,18,58,39,119,64
0,53,89,136,51,63
0,19,68,53,125,66
0,35,55,79,140,63
0,36,64,104,142,30
1,18,34,39,131,62
1,17,48,39,127,60
0,16,40,31,127,63
1,13,25,25,124,68
1,17,27,31,125,64
0,17,67,48,127,63
0,20,59,56,127,64
0,16,61,43,125,67
0,17,47,40,128,63
0,21,60,50,124,63
1,17,30,34,129,62
1,15,28,25,125,63
0,19,74,52,125,63
1,16,32,27,125,65
1,15,28,29,128,63
0,17,32,39,127,64
0,14,41,34,125,70
1,14,28,21,123,62
1,18,42,43,127,68
0,18,44,37,126,69
0,17,41,31,126,41
0,14,32,26,126,63
1,16,29,33,128,62
0,33,69,94,142,37
0,14,30,23,128,59
1,16,32,32,127,64
0,18,87,55,130,63
0,19,50,43,128,53
1,16,26,30,126,63
1,15,33,24,124,63
1,18,36,41,130,63
0,14,31,26,126,51
0,21,67,53,129,45
0,16,65,54,128,55
0,15,53,50,130,63
0,16,63,49,128,59
1,19,40,47,128,47
0,45,33,57,130,63
0,24,44,34,121,63
0,17,62,45,129,59
0,21,43,36,125,63
1,22,36,50,131,63
1,19,25,26,126,63
1,16,30,25,126,63
1,14,29,23,125,63
1,16,24,26,126,63
0,62,46,72,135,63
1,18,34,39,129,62
1,20,41,54,131,64
0,21,67,55,123,63
1,15,23,21,125,63
1,15,29,26,124,62
1,16,31,28,121,74
1,21,46,52,132,63
1,21,38,49,133,68
0,15,35,30,127,63
1,16,38,38,125,74
1,14,27,22,125,68
0,16,75,48,121,63
1,15,20,19,122,63
1,20,39,49,131,62
1,16,32,25,126,65
1,19,29,29,124,63
0,29,64,79,135,43
0,18,54,47,129,63
0,18,75,53,126,64
0,20,68,58,129,39
1,17,27,27,125,63
0,17,59,46,120,63
1,13,30,25,125,66
0,17,38,29,126,63
0,35,25,39,136,63
0,17,66,51,123,63
0,16,68,45,125,63
0,16,54,39,120,63
1,18,34,49,128,63
1,14,39,30,123,63
1,18,30,37,127,62
0,16,76,53,128,63
0,20,50,49,131,49
0,16,37,34,127,52
1,15,26,20,125,63
0,18,54,47,129,63
1,17,26,33,128,63
1,19,42,39,125,67
1,17,31,34,123,63
0,17,50,51,123,63
1,17,28,16,123,63
0,16,36,34,128,44
1,21,37,47,132,68
1,16,29,33,125,62
0,19,76,53,134,48
1,18,48,40,128,63
1,19,42,46,127,66
0,16,74,52,127,63
1,15,27,32,126,63
0,16,35,31,126,50
1,19,38,37,127,63
1,21,39,59,132,63
0,22,55,50,126,66
0,30,68,89,136,32
0,39,56,79,138,63
0,18,60,49,123,63
0,16,78,57,125,44
0,15,32,24,127,52
0,16,66,45,125,76
0,47,36,55,130,63
0,19,39,41,129,55
0,19,76,51,123,63
1,16,28,29,126,63
1,15,30,34,130,63
1,21,39,53,132,63
1,16,38,35,126,69
1,16,41,39,124,81
0,18,57,48,128,63
1,19,48,49,128,65
0,27,67,84,134,35
1,14,27,32,126,63
1,17,38,41,127,64
0,59,93,134,59,63
1,22,39,48,131,63
0,19,40,34,121,62
0,21,65,62,129,53
1,18,36,32,127,68
0,16,44,39,128,62
0,16,57,43,122,62
1,19,40,43,131,68
1,21,41,47,131,64
1,19,41,41,131,63
1,15,31,36,125,63
1,16,39,37,127,68
0,22,78,76,135,39
0,18,58,46,127,61
1,24,48,62,132,63
0,18,42,33,128,63
1,15,37,31,121,77
0,27,49,62,133,63
1,18,40,42,124,71
1,14,34,30,125,69
1,19,35,39,130,66
0,17,45,43,132,63
1,17,31,34,123,64
0,15,41,27,124,49
1,21,38,48,133,63
1,16,30,37,128,63
1,19,45,47,128,65
0,26,73,91,145,41
1,15,31,31,126,63
1,20,33,45,132,63
1,21,40,52,132,63
1,16,25,32,124,63
0,19,72,59,133,48
0,18,45,39,129,62
0,19,68,50,119,64
1,18,32,41,130,62
0,16,53,41,122,63
1,17,41,36,127,65
